Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Set provider,Success,3,0,Jul 26, 2019 at 2:23:52 PM,Jul 26, 2019 at 2:26:49 PM,0:00:00
Untitled,Success,5,0,Jul 26, 2019 at 1:23:13 PM,Jul 26, 2019 at 2:26:54 PM,0:00:00
